canonical_id,review_mode,pair_role,old_reference_series,new_reference_series,canonical_tcode,window_months,window_start_date,window_end_date,n_common_valid,pearson_corr,std_ratio_new_old,nrmse_old_std,diagnostic_status
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1990-05-01,1995-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1990-06-01,1995-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1990-07-01,1995-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1990-08-01,1995-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1990-09-01,1995-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1990-10-01,1995-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1990-11-01,1995-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1990-12-01,1995-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-01-01,1995-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-02-01,1996-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-03-01,1996-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-04-01,1996-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-05-01,1996-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-06-01,1996-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-07-01,1996-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-08-01,1996-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-09-01,1996-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-10-01,1996-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-11-01,1996-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1991-12-01,1996-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-01-01,1996-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-02-01,1997-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-03-01,1997-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-04-01,1997-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-05-01,1997-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-06-01,1997-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-07-01,1997-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-08-01,1997-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-09-01,1997-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-10-01,1997-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-11-01,1997-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1992-12-01,1997-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-01-01,1997-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-02-01,1998-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-03-01,1998-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-04-01,1998-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-05-01,1998-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-06-01,1998-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-07-01,1998-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-08-01,1998-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-09-01,1998-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-10-01,1998-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-11-01,1998-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1993-12-01,1998-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-01-01,1998-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-02-01,1999-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-03-01,1999-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-04-01,1999-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-05-01,1999-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-06-01,1999-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-07-01,1999-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-08-01,1999-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-09-01,1999-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-10-01,1999-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-11-01,1999-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1994-12-01,1999-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-01-01,1999-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-02-01,2000-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-03-01,2000-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-04-01,2000-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-05-01,2000-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-06-01,2000-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-07-01,2000-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-08-01,2000-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-09-01,2000-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-10-01,2000-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-11-01,2000-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1995-12-01,2000-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-01-01,2000-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-02-01,2001-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-03-01,2001-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-04-01,2001-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-05-01,2001-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-06-01,2001-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-07-01,2001-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-08-01,2001-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-09-01,2001-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-10-01,2001-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-11-01,2001-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1996-12-01,2001-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-01-01,2001-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-02-01,2002-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-03-01,2002-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-04-01,2002-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-05-01,2002-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-06-01,2002-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-07-01,2002-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-08-01,2002-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-09-01,2002-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-10-01,2002-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-11-01,2002-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1997-12-01,2002-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-01-01,2002-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-02-01,2003-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-03-01,2003-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-04-01,2003-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-05-01,2003-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-06-01,2003-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-07-01,2003-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-08-01,2003-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-09-01,2003-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-10-01,2003-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-11-01,2003-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1998-12-01,2003-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-01-01,2003-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-02-01,2004-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-03-01,2004-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-04-01,2004-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-05-01,2004-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-06-01,2004-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-07-01,2004-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-08-01,2004-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-09-01,2004-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-10-01,2004-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-11-01,2004-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,1999-12-01,2004-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-01-01,2004-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-02-01,2005-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-03-01,2005-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-04-01,2005-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-05-01,2005-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-06-01,2005-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-07-01,2005-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-08-01,2005-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-09-01,2005-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-10-01,2005-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-11-01,2005-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2000-12-01,2005-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-01-01,2005-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-02-01,2006-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-03-01,2006-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-04-01,2006-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-05-01,2006-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-06-01,2006-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-07-01,2006-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-08-01,2006-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-09-01,2006-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-10-01,2006-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-11-01,2006-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2001-12-01,2006-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-01-01,2006-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-02-01,2007-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-03-01,2007-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-04-01,2007-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-05-01,2007-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-06-01,2007-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-07-01,2007-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-08-01,2007-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-09-01,2007-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-10-01,2007-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-11-01,2007-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2002-12-01,2007-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-01-01,2007-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-02-01,2008-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-03-01,2008-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-04-01,2008-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-05-01,2008-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-06-01,2008-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-07-01,2008-06-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-08-01,2008-07-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-09-01,2008-08-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-10-01,2008-09-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-11-01,2008-10-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2003-12-01,2008-11-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2004-01-01,2008-12-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2004-02-01,2009-01-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2004-03-01,2009-02-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2004-04-01,2009-03-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2004-05-01,2009-04-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2004-06-01,2009-05-01,60,1,1,0,computed
PPI_UNPROCESSED_INTERMEDIATE_GOODS,pairwise,old_vs_new,PPICRM,WPSID62,6,60,2004-07-01,2009-06-01,60,1,1,0,computed
